GEOID10,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
470370195004,195.4,7.11,4.23,6.4,5.95,1.55,2.9,2.46,5.17,3.68,3.03,2.55,2.07,2.52,1.59,2.27,1.58
470370196001,196.1,3.89,0.73,1.94,3.86,7.71,5.53,4.08,2.64,6.22,13.37,11.85,8.14,10.36,5.59,3.36,4.1
470370196002,196.2,3.77,5.14,4.95,5.46,6.13,5.95,2.71,2.71,4.39,4.89,2.61,7.12,6.75,5.81,2.32,3.1
470379801001,9801.1,200,200,200,0,100,200,100,0,200,100,0,100,100,0,200,0
470379802001,9802.1,107.87,242.72,0,323.62,194.17,970.87,0,0,0,0,100,0,0,100,0,0
470370101031,101.03.1,0,7.73,0,4.59,4.35,0,5.91,3.76,0,1.72,3.3,4.74,3.03,1.46,0,0
470370101032,101.03.2,1.46,0,1.37,2.66,1.29,6.27,3.65,4.74,2.31,5.62,6.42,4.08,0.98,0.93,1.79,0.86
470370101041,101.04.1,4.18,5.63,3.1,2.99,4.33,3.49,2.03,4.59,3.81,2.47,5.35,3.44,1.66,0.54,6.22,0.5
470370101042,101.04.2,1.29,2.55,6.32,1.25,8.7,1.23,1.22,2.42,4.8,7.14,1.12,5.32,3.03,2.88,1.83,1.75
470370101051,101.05.1,1.98,3.92,0,0,13.33,5.66,3.74,7.41,14.68,7.27,10.37,8.24,12.6,4.52,11.57,8.33
470370101052,101.05.2,5.09,2.03,9.1,7.06,7.04,5.01,3,7.97,4.97,3.96,6.57,6.25,5.96,3.25,6.23,5.97
470370101053,101.05.3,9.52,8.82,10.96,12.82,7.23,4.55,4.3,0,7.77,9.26,1.79,6.94,6.72,6.52,11.08,6.15
470370101054,101.05.4,9.66,4.46,4.15,7.75,10.91,3.42,0,3.07,0,5.56,0,0,7.23,2.31,8.86,4.26
470370101061,101.06.1,2.4,5.9,8.12,5.71,5.62,3.32,5.45,5.36,4.23,7.29,3.97,5.68,10.86,3.47,4.99,5.6
470370101062,101.06.2,3.33,4.6,5.67,5.28,6.18,6.97,10.95,8.28,8.84,6.54,9.97,8.8,7.69,9.97,4.04,8.66
470370102011,102.01.1,6.02,6.98,13.48,17.39,11.58,14.29,3.96,5.77,10.28,7.27,11.27,16.57,13.49,9.14,13.9,10.56
470370102012,102.01.2,11.45,11.36,7.52,7.46,3.7,18.38,3.65,3.62,10.79,3.57,3.43,16.48,3.17,3.06,0,8.57
470370102013,102.01.3,2.97,2.94,2.9,4.79,9.01,5.63,2.32,6.89,5.46,5.86,4.82,7.68,5.41,4.05,4.75,3.47
470370102021,102.02.1,4.79,6.33,7.84,1.55,1.54,0,1.51,0,4.45,4.41,4.26,0,2.65,1.28,3.73,2.41
470370102022,102.02.2,4.9,3.15,7.59,1.47,5.68,8.24,2.66,0,2.51,3.66,3.49,2.22,3.19,4.08,0,1.89
470370102023,102.02.3,7.69,1.92,1.92,5.77,3.85,1.92,3.85,5.77,0,1.92,3.65,10.4,0,0,0,0
470370103011,103.01.1,1.52,0.76,1.54,3.11,9.41,7.12,3.19,3.22,9.75,9.84,3.95,6.85,8.82,7.11,2.06,5.33
470370103012,103.01.2,2.36,2.27,4.05,6.59,8.09,7.25,4.85,5.48,7.33,8.58,6.35,8.14,6.53,5.66,5.47,2.54
470370103021,103.02.1,6.25,2.67,3.1,2.65,3.52,6.13,1.74,3.91,4.76,2.59,6.71,6.95,8.76,6.22,7.96,1.85
470370103022,103.02.2,3.33,8.03,7.4,5.74,5.43,9.9,5.15,7.93,9.71,10.8,9.89,11.01,4.25,3.84,1.88,0.92
470370103031,103.03.1,12.23,5.86,3.76,1.6,3.02,2.85,4.06,3.6,4.41,4.44,6.94,6.19,4.09,5.4,5.12,6.84
470370103032,103.03.2,3.26,4.8,3.19,4.13,6.51,4.14,2.96,3.46,3.14,2.3,3.23,3.5,2.41,2.06,2.03,1.4
470370103033,103.03.3,5.11,4.97,3.22,4.7,4.58,5.95,7.26,5.67,2.77,5.41,6.51,1.26,2.42,3.52,1.13,2.2
470370104011,104.01.1,6.24,6.91,7.31,7.57,6.46,6.2,5.75,3.14,2.85,1.31,4.34,2.28,4.44,1.99,1.94,1.89
